2026-06-30 01:12:01 | === run 'gptbert_small_contrastive_v1' | device=mps | config=small (33.0M params) ===
2026-06-30 01:12:01 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-30 01:12:01 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-30 01:12:01 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_contrastive_v1/train.log
2026-06-30 01:12:01 | CONTRASTIVE ON | 834,593 sentences | cw=0.5 n_neg=2 c_bs=16 temp=1.0 norm=False | 120 function-word ids
2026-06-30 01:12:09 | [0:00:07] [------------------------]   0.0% | step      1/9860 | ep 0 | masked | loss  9.822 | closs  1.942 | lr 2.54e-06 |   0.01M words |  2197 tok/s | ETA 20:25:32
2026-06-30 01:13:44 | [0:01:42] [------------------------]   0.2% | step     20/9860 | ep 0 | masked | loss  9.562 | closs  1.989 | lr 5.08e-05 |   0.20M words |  3199 tok/s | ETA 13:59:56
2026-06-30 01:15:21 | [0:03:19] [------------------------]   0.4% | step     40/9860 | ep 0 | masked | loss  9.158 | closs  1.846 | lr 1.02e-04 |   0.40M words |  3278 tok/s | ETA 13:38:04
2026-06-30 01:17:08 | [0:05:06] [------------------------]   0.6% | step     60/9860 | ep 0 | masked | loss  8.404 | closs  1.436 | lr 1.52e-04 |   0.60M words |  3205 tok/s | ETA 13:55:02
2026-06-30 01:18:47 | [0:06:45] [------------------------]   0.8% | step     80/9860 | ep 0 | masked | loss  7.789 | closs  1.229 | lr 2.03e-04 |   0.80M words |  3232 tok/s | ETA 13:46:20
2026-06-30 01:20:25 | [0:08:24] [------------------------]   1.0% | step    100/9860 | ep 0 | masked | loss  7.623 | closs  1.206 | lr 2.54e-04 |   1.00M words |  3251 tok/s | ETA 13:39:54
2026-06-30 01:20:26 |   >> saved checkpoint chck_1M at 1.00M words
2026-06-30 01:22:05 | [0:10:03] [------------------------]   1.2% | step    120/9860 | ep 0 | masked | loss  6.958 | closs  0.989 | lr 3.05e-04 |   1.20M words |  3257 tok/s | ETA 13:36:34
2026-06-30 01:23:43 | [0:11:42] [------------------------]   1.4% | step    140/9860 | ep 0 | masked | loss  6.231 | closs  0.944 | lr 3.55e-04 |   1.41M words |  3266 tok/s | ETA 13:32:43
2026-06-30 01:25:22 | [0:13:21] [------------------------]   1.6% | step    160/9860 | ep 0 | masked | loss  6.485 | closs  0.533 | lr 4.06e-04 |   1.61M words |  3273 tok/s | ETA 13:29:23
2026-06-30 01:27:01 | [0:14:59] [------------------------]   1.8% | step    180/9860 | ep 0 | masked | loss  6.073 | closs  0.536 | lr 4.57e-04 |   1.81M words |  3279 tok/s | ETA 13:26:14
2026-06-30 01:28:39 | [0:16:38] [------------------------]   2.0% | step    200/9860 | ep 0 | masked | loss  6.205 | closs  0.815 | lr 5.00e-04 |   2.01M words |  3282 tok/s | ETA 13:23:38
2026-06-30 01:28:40 |   >> saved checkpoint chck_2M at 2.01M words
2026-06-30 01:30:18 | [0:18:17] [------------------------]   2.2% | step    220/9860 | ep 0 | masked | loss  5.865 | closs  0.695 | lr 5.00e-04 |   2.21M words |  3286 tok/s | ETA 13:21:10
2026-06-30 01:31:57 | [0:19:55] [------------------------]   2.4% | step    240/9860 | ep 0 | masked | loss  5.965 | closs  0.923 | lr 5.00e-04 |   2.41M words |  3288 tok/s | ETA 13:18:50
2026-06-30 01:33:35 | [0:21:34] [------------------------]   2.6% | step    260/9860 | ep 0 | masked | loss  5.811 | closs  0.707 | lr 5.00e-04 |   2.61M words |  3291 tok/s | ETA 13:16:28
2026-06-30 01:35:14 | [0:23:12] [------------------------]   2.8% | step    280/9860 | ep 0 | masked | loss  5.419 | closs  0.568 | lr 5.00e-04 |   2.81M words |  3294 tok/s | ETA 13:14:13
2026-06-30 01:36:48 |   >> saved checkpoint chck_3M at 3.00M words
2026-06-30 01:36:53 | [0:24:52] [------------------------]   3.0% | step    300/9860 | ep 0 | masked | loss  5.807 | closs  1.007 | lr 5.00e-04 |   3.01M words |  3294 tok/s | ETA 13:12:27
2026-06-30 01:38:31 | [0:26:30] [------------------------]   3.2% | step    320/9860 | ep 0 | masked | loss  5.287 | closs  0.570 | lr 5.00e-04 |   3.21M words |  3297 tok/s | ETA 13:10:07
2026-06-30 01:40:10 | [0:28:08] [------------------------]   3.4% | step    340/9860 | ep 0 | masked | loss  5.528 | closs  0.792 | lr 5.00e-04 |   3.41M words |  3299 tok/s | ETA 13:08:02
2026-06-30 01:41:48 | [0:29:47] [------------------------]   3.7% | step    360/9860 | ep 0 | masked | loss  5.756 | closs  0.250 | lr 5.00e-04 |   3.61M words |  3300 tok/s | ETA 13:06:00
2026-06-30 01:43:27 | [0:31:25] [------------------------]   3.9% | step    380/9860 | ep 0 | masked | loss  5.166 | closs  0.529 | lr 5.00e-04 |   3.81M words |  3302 tok/s | ETA 13:04:01
2026-06-30 01:45:01 |   >> saved checkpoint chck_4M at 4.00M words
