2026-07-03 09:41:07 | === run 'gptbert_small_uni8k_v1' | device=mps | config=small (29.9M params) ===
2026-07-03 09:41:07 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-03 09:41:07 | blocks/epoch=113,635 | steps/epoch=887 | max_steps=8,870 | ~147M tokens over 10 epochs
2026-07-03 09:41:07 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_uni8k_v1/train.log
2026-07-03 09:41:07 | optimizer: AdamW (lr=0.0005)
2026-07-03 09:41:12 | [0:00:04] [------------------------]   0.0% | step      1/8870 | ep 0 | masked | loss  9.161 | lr 2.82e-06 |   0.01M words |  3401 tok/s | ETA 11:52:10
2026-07-03 09:42:30 | [0:01:23] [------------------------]   0.2% | step     20/8870 | ep 0 | masked | loss  8.648 | lr 5.65e-05 |   0.22M words |  3942 tok/s | ETA 10:13:04
2026-07-03 09:43:53 | [0:02:45] [------------------------]   0.5% | step     40/8870 | ep 0 | masked | loss  7.821 | lr 1.13e-04 |   0.45M words |  3958 tok/s | ETA 10:09:07
2026-07-03 09:45:16 | [0:04:08] [------------------------]   0.7% | step     60/8870 | ep 0 | masked | loss  7.397 | lr 1.69e-04 |   0.67M words |  3956 tok/s | ETA 10:08:06
2026-07-03 09:46:39 | [0:05:31] [------------------------]   0.9% | step     80/8870 | ep 0 | causal | loss  6.542 | lr 2.26e-04 |   0.89M words |  3952 tok/s | ETA 10:07:17
2026-07-03 09:47:21 |   >> saved checkpoint chck_1M at 1.00M words
2026-07-03 09:48:02 | [0:06:54] [------------------------]   1.1% | step    100/8870 | ep 0 | masked | loss  6.499 | lr 2.82e-04 |   1.12M words |  3952 tok/s | ETA 10:05:59
2026-07-03 09:49:26 | [0:08:19] [------------------------]   1.4% | step    120/8870 | ep 0 | masked | loss  6.329 | lr 3.39e-04 |   1.34M words |  3939 tok/s | ETA 10:06:38
2026-07-03 09:50:51 | [0:09:44] [------------------------]   1.6% | step    140/8870 | ep 0 | masked | loss  6.166 | lr 3.95e-04 |   1.56M words |  3926 tok/s | ETA 10:07:07
2026-07-03 09:52:16 | [0:11:08] [------------------------]   1.8% | step    160/8870 | ep 0 | masked | loss  6.013 | lr 4.52e-04 |   1.78M words |  3920 tok/s | ETA 10:06:46
2026-07-03 09:53:40 | [0:12:33] [------------------------]   2.0% | step    180/8870 | ep 0 | causal | loss  5.834 | lr 5.00e-04 |   2.01M words |  3915 tok/s | ETA 10:06:03
2026-07-03 09:53:41 |   >> saved checkpoint chck_2M at 2.01M words
2026-07-03 09:55:06 | [0:13:58] [------------------------]   2.3% | step    200/8870 | ep 0 | masked | loss  5.385 | lr 5.00e-04 |   2.23M words |  3907 tok/s | ETA 10:05:54
2026-07-03 09:56:31 | [0:15:23] [------------------------]   2.5% | step    220/8870 | ep 0 | masked | loss  5.459 | lr 5.00e-04 |   2.45M words |  3902 tok/s | ETA 10:05:23
2026-07-03 09:57:56 | [0:16:48] [------------------------]   2.7% | step    240/8870 | ep 0 | masked | loss  5.379 | lr 5.00e-04 |   2.68M words |  3898 tok/s | ETA 10:04:31
2026-07-03 09:59:21 | [0:18:13] [------------------------]   2.9% | step    260/8870 | ep 0 | masked | loss  5.001 | lr 5.00e-04 |   2.90M words |  3894 tok/s | ETA 10:03:47
2026-07-03 10:00:04 |   >> saved checkpoint chck_3M at 3.01M words
2026-07-03 10:00:46 | [0:19:39] [------------------------]   3.2% | step    280/8870 | ep 0 | causal | loss  5.578 | lr 5.00e-04 |   3.12M words |  3891 tok/s | ETA 10:02:51
2026-07-03 10:02:11 | [0:21:04] [------------------------]   3.4% | step    300/8870 | ep 0 | masked | loss  4.868 | lr 5.00e-04 |   3.35M words |  3888 tok/s | ETA 10:01:51
2026-07-03 10:03:36 | [0:22:29] [------------------------]   3.6% | step    320/8870 | ep 0 | masked | loss  4.825 | lr 5.00e-04 |   3.57M words |  3886 tok/s | ETA 10:00:44
2026-07-03 10:05:01 | [0:23:54] [------------------------]   3.8% | step    340/8870 | ep 0 | masked | loss  4.796 | lr 5.00e-04 |   3.79M words |  3884 tok/s | ETA 9:59:41
2026-07-03 10:06:22 |   >> saved checkpoint chck_4M at 4.00M words
2026-07-03 10:06:26 | [0:25:19] [------------------------]   4.1% | step    360/8870 | ep 0 | masked | loss  4.747 | lr 4.99e-04 |   4.01M words |  3883 tok/s | ETA 9:58:28
2026-07-03 10:07:51 | [0:26:44] [#-----------------------]   4.3% | step    380/8870 | ep 0 | masked | loss  4.697 | lr 4.99e-04 |   4.24M words |  3881 tok/s | ETA 9:57:17
2026-07-03 10:09:16 | [0:28:08] [#-----------------------]   4.5% | step    400/8870 | ep 0 | masked | loss  4.727 | lr 4.99e-04 |   4.46M words |  3880 tok/s | ETA 9:56:04
2026-07-03 10:10:40 | [0:29:33] [#-----------------------]   4.7% | step    420/8870 | ep 0 | masked | loss  4.727 | lr 4.99e-04 |   4.68M words |  3880 tok/s | ETA 9:54:37
2026-07-03 10:12:05 | [0:30:57] [#-----------------------]   5.0% | step    440/8870 | ep 0 | causal | loss  5.033 | lr 4.99e-04 |   4.91M words |  3880 tok/s | ETA 9:53:17
2026-07-03 10:12:43 |   >> saved checkpoint chck_5M at 5.01M words
2026-07-03 10:13:30 | [0:32:23] [#-----------------------]   5.2% | step    460/8870 | ep 0 | masked | loss  4.255 | lr 4.99e-04 |   5.13M words |  3879 tok/s | ETA 9:52:05
2026-07-03 10:14:55 | [0:33:48] [#-----------------------]   5.4% | step    480/8870 | ep 0 | masked | loss  4.488 | lr 4.99e-04 |   5.35M words |  3878 tok/s | ETA 9:50:49
2026-07-03 10:16:20 | [0:35:13] [#-----------------------]   5.6% | step    500/8870 | ep 0 | masked | loss  4.709 | lr 4.98e-04 |   5.58M words |  3876 tok/s | ETA 9:49:36
2026-07-03 10:17:45 | [0:36:38] [#-----------------------]   5.9% | step    520/8870 | ep 0 | masked | loss  4.428 | lr 4.98e-04 |   5.80M words |  3876 tok/s | ETA 9:48:18
2026-07-03 10:19:06 |   >> saved checkpoint chck_6M at 6.01M words
2026-07-03 10:19:10 | [0:38:03] [#-----------------------]   6.1% | step    540/8870 | ep 0 | masked | loss  4.488 | lr 4.98e-04 |   6.02M words |  3875 tok/s | ETA 9:47:03
2026-07-03 10:20:35 | [0:39:28] [#-----------------------]   6.3% | step    560/8870 | ep 0 | masked | loss  4.382 | lr 4.98e-04 |   6.24M words |  3874 tok/s | ETA 9:45:44
2026-07-03 10:22:00 | [0:40:53] [#-----------------------]   6.5% | step    580/8870 | ep 0 | masked | loss  4.250 | lr 4.97e-04 |   6.47M words |  3874 tok/s | ETA 9:44:22
2026-07-03 10:23:25 | [0:42:18] [#-----------------------]   6.8% | step    600/8870 | ep 0 | masked | loss  4.330 | lr 4.97e-04 |   6.69M words |  3873 tok/s | ETA 9:43:04
2026-07-03 10:24:50 | [0:43:42] [#-----------------------]   7.0% | step    620/8870 | ep 0 | masked | loss  4.389 | lr 4.97e-04 |   6.91M words |  3873 tok/s | ETA 9:41:41
2026-07-03 10:25:24 |   >> saved checkpoint chck_7M at 7.00M words
2026-07-03 10:26:15 | [0:45:07] [#-----------------------]   7.2% | step    640/8870 | ep 0 | masked | loss  4.218 | lr 4.97e-04 |   7.14M words |  3873 tok/s | ETA 9:40:19
2026-07-03 10:27:40 | [0:46:32] [#-----------------------]   7.4% | step    660/8870 | ep 0 | masked | loss  4.206 | lr 4.96e-04 |   7.36M words |  3872 tok/s | ETA 9:39:01
2026-07-03 10:29:05 | [0:47:57] [#-----------------------]   7.7% | step    680/8870 | ep 0 | masked | loss  4.165 | lr 4.96e-04 |   7.58M words |  3871 tok/s | ETA 9:37:40
2026-07-03 10:30:30 | [0:49:22] [#-----------------------]   7.9% | step    700/8870 | ep 0 | masked | loss  4.249 | lr 4.96e-04 |   7.81M words |  3871 tok/s | ETA 9:36:18
2026-07-03 10:31:47 |   >> saved checkpoint chck_8M at 8.01M words
2026-07-03 10:31:55 | [0:50:48] [#-----------------------]   8.1% | step    720/8870 | ep 0 | causal | loss  4.795 | lr 4.95e-04 |   8.03M words |  3870 tok/s | ETA 9:35:02
2026-07-03 10:33:20 | [0:52:13] [##----------------------]   8.3% | step    740/8870 | ep 0 | masked | loss  4.260 | lr 4.95e-04 |   8.25M words |  3870 tok/s | ETA 9:33:41
2026-07-03 10:34:45 | [0:53:38] [##----------------------]   8.6% | step    760/8870 | ep 0 | causal | loss  4.986 | lr 4.94e-04 |   8.48M words |  3869 tok/s | ETA 9:32:23
2026-07-03 10:36:10 | [0:55:02] [##----------------------]   8.8% | step    780/8870 | ep 0 | masked | loss  4.174 | lr 4.94e-04 |   8.70M words |  3869 tok/s | ETA 9:30:56
