2026-07-02 17:07:38 | === run 'gptbert_small_slm_v1' | device=mps | config=small (33.0M params) ===
2026-07-02 17:07:38 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-02 17:07:38 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-07-02 17:07:38 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_slm_v1/train.log
2026-07-02 17:07:38 | optimizer: AdamW (lr=0.0005)
2026-07-02 17:07:38 | SLM ON | ref=/Users/admin1/Downloads/babylm-eval/data/processed/ref_nll_final.pt | keep top 60% of tokens by excess loss (mean scored ref NLL 3.285)
2026-07-02 17:07:44 | [0:00:06] [------------------------]   0.0% | step      1/9860 | ep 0 | masked | loss  9.883 | all  9.822 | lr 2.54e-06 |   0.01M words |  2677 tok/s | ETA 16:45:39
2026-07-02 17:09:18 | [0:01:40] [------------------------]   0.2% | step     20/9860 | ep 0 | masked | loss  9.016 | all  8.826 | lr 5.08e-05 |   0.20M words |  3259 tok/s | ETA 13:44:25
2026-07-02 17:10:53 | [0:03:14] [------------------------]   0.4% | step     40/9860 | ep 0 | masked | loss  8.480 | all  7.921 | lr 1.02e-04 |   0.40M words |  3364 tok/s | ETA 13:17:06
2026-07-02 17:12:25 | [0:04:47] [------------------------]   0.6% | step     60/9860 | ep 0 | masked | loss  7.499 | all  6.918 | lr 1.52e-04 |   0.60M words |  3420 tok/s | ETA 13:02:23
2026-07-02 17:13:58 | [0:06:20] [------------------------]   0.8% | step     80/9860 | ep 0 | masked | loss  7.046 | all  6.159 | lr 2.03e-04 |   0.80M words |  3449 tok/s | ETA 12:54:18
2026-07-02 17:15:27 | [0:07:49] [------------------------]   1.0% | step    100/9860 | ep 0 | masked | loss  7.054 | all  6.108 | lr 2.54e-04 |   1.00M words |  3491 tok/s | ETA 12:43:22
2026-07-02 17:15:28 |   >> saved checkpoint chck_1M at 1.00M words
2026-07-02 17:16:58 | [0:09:19] [------------------------]   1.2% | step    120/9860 | ep 0 | masked | loss  7.021 | all  5.756 | lr 3.05e-04 |   1.20M words |  3511 tok/s | ETA 12:37:31
2026-07-02 17:18:28 | [0:10:49] [------------------------]   1.4% | step    140/9860 | ep 0 | masked | loss  6.293 | all  5.079 | lr 3.55e-04 |   1.41M words |  3529 tok/s | ETA 12:32:04
2026-07-02 17:20:00 | [0:12:22] [------------------------]   1.6% | step    160/9860 | ep 0 | masked | loss  6.737 | all  5.462 | lr 4.06e-04 |   1.61M words |  3532 tok/s | ETA 12:29:53
2026-07-02 17:21:31 | [0:13:53] [------------------------]   1.8% | step    180/9860 | ep 0 | masked | loss  6.213 | all  5.013 | lr 4.57e-04 |   1.81M words |  3539 tok/s | ETA 12:26:49
2026-07-02 17:23:02 | [0:15:24] [------------------------]   2.0% | step    200/9860 | ep 0 | masked | loss  6.432 | all  5.115 | lr 5.00e-04 |   2.01M words |  3545 tok/s | ETA 12:24:11
2026-07-02 17:23:03 |   >> saved checkpoint chck_2M at 2.01M words
2026-07-02 17:24:32 | [0:16:54] [------------------------]   2.2% | step    220/9860 | ep 0 | masked | loss  6.257 | all  4.793 | lr 5.00e-04 |   2.21M words |  3555 tok/s | ETA 12:20:31
2026-07-02 17:26:02 | [0:18:24] [------------------------]   2.4% | step    240/9860 | ep 0 | masked | loss  6.137 | all  4.882 | lr 5.00e-04 |   2.41M words |  3560 tok/s | ETA 12:17:52
2026-07-02 17:27:34 | [0:19:56] [------------------------]   2.6% | step    260/9860 | ep 0 | masked | loss  5.916 | all  4.635 | lr 5.00e-04 |   2.61M words |  3561 tok/s | ETA 12:16:07
2026-07-02 17:29:03 | [0:21:25] [------------------------]   2.8% | step    280/9860 | ep 0 | masked | loss  5.163 | all  4.268 | lr 5.00e-04 |   2.81M words |  3570 tok/s | ETA 12:12:50
2026-07-02 17:30:30 |   >> saved checkpoint chck_3M at 3.00M words
2026-07-02 17:30:35 | [0:22:56] [------------------------]   3.0% | step    300/9860 | ep 0 | masked | loss  5.851 | all  4.665 | lr 5.00e-04 |   3.01M words |  3570 tok/s | ETA 12:11:15
