2026-06-28 09:10:10 | === run 'gptbert_small_v1' | device=mps | config=small (33.0M params) ===
2026-06-28 09:10:10 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-28 09:10:10 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-28 09:10:10 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/train.log
2026-06-28 09:10:16 | [0:00:05] [------------------------]   0.0% | step      1/9860 | ep 0 | masked | loss  9.822 | lr 2.54e-06 |   0.01M words |  2925 tok/s | ETA 15:20:19
2026-06-28 09:11:41 | [0:01:30] [------------------------]   0.2% | step     20/9860 | ep 0 | masked | loss  8.785 | lr 5.08e-05 |   0.20M words |  3633 tok/s | ETA 12:19:35
2026-06-28 09:13:10 | [0:02:59] [------------------------]   0.4% | step     40/9860 | ep 0 | masked | loss  7.757 | lr 1.02e-04 |   0.40M words |  3656 tok/s | ETA 12:13:30
2026-06-28 09:14:38 | [0:04:27] [------------------------]   0.6% | step     60/9860 | ep 0 | masked | loss  6.790 | lr 1.52e-04 |   0.60M words |  3674 tok/s | ETA 12:08:22
2026-06-28 09:16:08 | [0:05:57] [------------------------]   0.8% | step     80/9860 | ep 0 | masked | loss  6.044 | lr 2.03e-04 |   0.80M words |  3662 tok/s | ETA 12:09:17
2026-06-28 09:17:38 | [0:07:27] [------------------------]   1.0% | step    100/9860 | ep 0 | masked | loss  5.980 | lr 2.54e-04 |   1.00M words |  3665 tok/s | ETA 12:07:11
2026-06-28 09:17:38 |   >> saved checkpoint chck_1M at 1.00M words
2026-06-28 09:19:07 | [0:08:56] [------------------------]   1.2% | step    120/9860 | ep 0 | masked | loss  5.642 | lr 3.05e-04 |   1.20M words |  3665 tok/s | ETA 12:05:39
2026-06-28 09:20:36 | [0:10:25] [------------------------]   1.4% | step    140/9860 | ep 0 | masked | loss  4.958 | lr 3.55e-04 |   1.41M words |  3668 tok/s | ETA 12:03:34
2026-06-28 09:22:05 | [0:11:54] [------------------------]   1.6% | step    160/9860 | ep 0 | masked | loss  5.368 | lr 4.06e-04 |   1.61M words |  3668 tok/s | ETA 12:02:02
2026-06-28 09:23:34 | [0:13:23] [------------------------]   1.8% | step    180/9860 | ep 0 | masked | loss  4.877 | lr 4.57e-04 |   1.81M words |  3669 tok/s | ETA 12:00:21
2026-06-28 09:25:03 | [0:14:52] [------------------------]   2.0% | step    200/9860 | ep 0 | masked | loss  4.997 | lr 5.00e-04 |   2.01M words |  3670 tok/s | ETA 11:58:46
2026-06-28 09:25:04 |   >> saved checkpoint chck_2M at 2.01M words
2026-06-28 09:26:33 | [0:16:22] [------------------------]   2.2% | step    220/9860 | ep 0 | masked | loss  4.684 | lr 5.00e-04 |   2.21M words |  3670 tok/s | ETA 11:57:18
